Collecting coverage data at Fri Dec 27 07:20:23 AM UTC 2024
Reading tracefile /home/yilegu/squint/pm-cc-bug-finder/targets/leveldb-bug-1/code_coverage/filtered_coverage.info
Coverage data collected.
Collecting coverage data at Fri Dec 27 07:20:24 AM UTC 2024
Reading tracefile /home/yilegu/squint/pm-cc-bug-finder/targets/leveldb-bug-1/code_coverage/filtered_coverage.info
                                       |Lines       |Functions  |Branches    
include/leveldb/env.h                  |15.8%     38|25.0%    24|    -      0
include/leveldb/options.h              | 0.0%      8| 0.0%     2|    -      0
include/leveldb/slice.h                |93.8%     32|86.7%    15|    -      0
include/leveldb/status.h               |54.5%     22|54.5%    11|    -      0
include/leveldb/table.h                | 100%      1| 100%     1|    -      0
include/leveldb/table_builder.h        | 100%      1| 100%     1|    -      0
port/atomic_pointer.h                  | 100%     15| 100%     7|    -      0
port/port_posix.cc                     |69.2%     26|81.8%    11|    -      0
port/port_posix.h                      | 100%     10| 100%     4|    -      0
table/block.cc                         |74.5%    137|85.7%    21|    -      0
table/block.h                          | 100%      1| 100%     1|    -      0
table/block_builder.cc                 | 100%     49| 100%     5|    -      0
table/block_builder.h                  | 100%      2| 100%     1|    -      0
table/filter_block.cc                  | 0.0%     65| 0.0%     7|    -      0
table/format.cc                        |77.5%     89| 100%     5|    -      0
table/format.h                         | 100%     16| 100%    10|    -      0
table/iterator.cc                      |44.7%     38|18.8%    16|    -      0
table/iterator_wrapper.h               |88.9%     27|80.0%    15|    -      0
table/merger.cc                        |53.4%    103|73.3%    15|    -      0
table/table.cc                         |68.0%    153|83.3%    12|    -      0
table/table_builder.cc                 |81.5%    151|76.9%    13|    -      0
table/two_level_iterator.cc            |68.6%     86|77.8%    18|    -      0
util/arena.cc                          |94.4%     36| 100%     5|    -      0
util/arena.h                           | 100%     10| 100%     2|    -      0
util/cache.cc                          |77.8%    162|87.5%    32|    -      0
util/coding.cc                         |68.8%    112|93.8%    16|    -      0
util/coding.h                          | 100%     13| 100%     3|    -      0
util/comparator.cc                     | 100%     34|88.9%     9|    -      0
util/crc32c.cc                         | 100%     18| 100%     2|    -      0
util/crc32c.h                          | 100%      7| 100%     3|    -      0
util/env.cc                            |78.6%     56|47.4%    19|    -      0
util/env_posix.cc                      |69.7%    320|79.3%    58|    -      0
util/filter_policy.cc                  | 100%      1|50.0%     2|    -      0
util/hash.cc                           |59.1%     22| 100%     1|    -      0
util/logging.cc                        |30.2%     43|16.7%     6|    -      0
util/mutexlock.h                       | 100%      5| 100%     2|    -      0
util/options.cc                        | 100%     15| 100%     1|    -      0
util/posix_logger.h                    |84.2%     38| 100%     4|    -      0
util/random.h                          |81.8%     11| 100%     3|    -      0
util/status.cc                         |60.8%     51| 100%     3|    -      0
=============================================================================
                                 Total:|64.6%   5001|73.0%   699|    -      0
Coverage data collected.
Collecting coverage data at Fri Dec 27 07:21:17 AM UTC 2024
Reading tracefile /home/yilegu/squint/pm-cc-bug-finder/targets/leveldb-bug-1/code_coverage/filtered_coverage.info
                                       |Lines       |Functions  |Branches    
Filename                               |Rate     Num|Rate    Num|Rate     Num
=============================================================================
[/home/yilegu/squint/bug_study/leveldb-1/leveldb/]
db/builder.cc                          |89.5%     38| 100%     1|    -      0
db/db_impl.cc                          |51.5%    913|61.1%    54|    -      0
db/db_impl.h                           | 100%      8| 100%     3|    -      0
db/db_iter.cc                          |50.3%    153|78.9%    19|    -      0
db/dbformat.cc                         |58.8%     85|50.0%    12|    -      0
db/dbformat.h                          |97.2%     36|94.4%    18|    -      0
db/filename.cc                         |90.1%     71|91.7%    12|    -      0
db/log_reader.cc                       |51.6%    153|50.0%    10|    -      0
db/log_writer.cc                       |92.7%     55| 100%     4|    -      0
db/memtable.cc                         |69.9%     73|78.9%    19|    -      0
db/memtable.h                          | 100%      8| 100%     3|    -      0
db/skiplist.h                          |72.2%    115|82.6%    23|    -      0
db/snapshot.h                          |19.0%     21|20.0%     5|    -      0
db/table_cache.cc                      |80.0%     75|87.5%     8|    -      0
db/version_edit.cc                     |55.2%    172|83.3%     6|    -      0
db/version_edit.h                      |83.8%     37|81.8%    11|    -      0
db/version_set.cc                      |60.7%    848|63.8%    69|    -      0
db/version_set.h                       |69.0%     29|60.0%    15|    -      0
db/write_batch.cc                      |86.4%     81|88.2%    17|    -      0
db/write_batch_internal.h              | 100%      4| 100%     2|    -      0
include/leveldb/cache.h                | 100%      1| 100%     1|    -      0
include/leveldb/db.h                   | 100%      1| 100%     1|    -      0
include/leveldb/env.h                  |15.8%     38|25.0%    24|    -      0
include/leveldb/options.h              | 0.0%      8| 0.0%     2|    -      0
include/leveldb/slice.h                |93.8%     32|86.7%    15|    -      0
include/leveldb/status.h               |54.5%     22|54.5%    11|    -      0
include/leveldb/table.h                | 100%      1| 100%     1|    -      0
include/leveldb/table_builder.h        | 100%      1| 100%     1|    -      0
port/atomic_pointer.h                  | 100%     15| 100%     7|    -      0
port/port_posix.cc                     |69.2%     26|81.8%    11|    -      0
port/port_posix.h                      | 100%     10| 100%     4|    -      0
table/block.cc                         |74.5%    137|85.7%    21|    -      0
table/block.h                          | 100%      1| 100%     1|    -      0
table/block_builder.cc                 | 100%     49| 100%     5|    -      0
table/block_builder.h                  | 100%      2| 100%     1|    -      0
table/filter_block.cc                  | 0.0%     65| 0.0%     7|    -      0
table/format.cc                        |77.5%     89| 100%     5|    -      0
table/format.h                         | 100%     16| 100%    10|    -      0
table/iterator.cc                      |44.7%     38|18.8%    16|    -      0
table/iterator_wrapper.h               |88.9%     27|80.0%    15|    -      0
table/merger.cc                        |53.4%    103|73.3%    15|    -      0
table/table.cc                         |68.0%    153|83.3%    12|    -      0
table/table_builder.cc                 |81.5%    151|76.9%    13|    -      0
table/two_level_iterator.cc            |68.6%     86|77.8%    18|    -      0
util/arena.cc                          |94.4%     36| 100%     5|    -      0
util/arena.h                           | 100%     10| 100%     2|    -      0
util/cache.cc                          |77.8%    162|87.5%    32|    -      0
util/coding.cc                         |68.8%    112|93.8%    16|    -      0
util/coding.h                          | 100%     13| 100%     3|    -      0
util/comparator.cc                     | 100%     34|88.9%     9|    -      0
util/crc32c.cc                         | 100%     18| 100%     2|    -      0
util/crc32c.h                          | 100%      7| 100%     3|    -      0
util/env.cc                            |78.6%     56|47.4%    19|    -      0
util/env_posix.cc                      |69.7%    320|79.3%    58|    -      0
util/filter_policy.cc                  | 100%      1|50.0%     2|    -      0
util/hash.cc                           |59.1%     22| 100%     1|    -      0
util/logging.cc                        |30.2%     43|16.7%     6|    -      0
util/mutexlock.h                       | 100%      5| 100%     2|    -      0
util/options.cc                        | 100%     15| 100%     1|    -      0
util/posix_logger.h                    |84.2%     38| 100%     4|    -      0
util/random.h                          |81.8%     11| 100%     3|    -      0
util/status.cc                         |60.8%     51| 100%     3|    -      0
=============================================================================
                                 Total:|64.6%   5001|73.0%   699|    -      0
Coverage data collected.
Collecting coverage data at Fri Dec 27 07:21:21 AM UTC 2024
Reading tracefile /home/yilegu/squint/pm-cc-bug-finder/targets/leveldb-bug-1/code_coverage/filtered_coverage.info
                                       |Lines       |Functions  |Branches    
Filename                               |Rate     Num|Rate    Num|Rate     Num
=============================================================================
[/home/yilegu/squint/bug_study/leveldb-1/leveldb/]
db/builder.cc                          |89.5%     38| 100%     1|    -      0
db/db_impl.cc                          |51.5%    913|61.1%    54|    -      0
db/db_impl.h                           | 100%      8| 100%     3|    -      0
db/db_iter.cc                          |50.3%    153|78.9%    19|    -      0
db/dbformat.cc                         |58.8%     85|50.0%    12|    -      0
db/dbformat.h                          |97.2%     36|94.4%    18|    -      0
db/filename.cc                         |90.1%     71|91.7%    12|    -      0
db/log_reader.cc                       |51.6%    153|50.0%    10|    -      0
db/log_writer.cc                       |92.7%     55| 100%     4|    -      0
db/memtable.cc                         |69.9%     73|78.9%    19|    -      0
db/memtable.h                          | 100%      8| 100%     3|    -      0
db/skiplist.h                          |72.2%    115|82.6%    23|    -      0
db/snapshot.h                          |19.0%     21|20.0%     5|    -      0
db/table_cache.cc                      |80.0%     75|87.5%     8|    -      0
db/version_edit.cc                     |55.2%    172|83.3%     6|    -      0
db/version_edit.h                      |83.8%     37|81.8%    11|    -      0
db/version_set.cc                      |60.7%    848|63.8%    69|    -      0
db/version_set.h                       |69.0%     29|60.0%    15|    -      0
db/write_batch.cc                      |86.4%     81|88.2%    17|    -      0
db/write_batch_internal.h              | 100%      4| 100%     2|    -      0
include/leveldb/cache.h                | 100%      1| 100%     1|    -      0
include/leveldb/db.h                   | 100%      1| 100%     1|    -      0
include/leveldb/env.h                  |15.8%     38|25.0%    24|    -      0
include/leveldb/options.h              | 0.0%      8| 0.0%     2|    -      0
include/leveldb/slice.h                |93.8%     32|86.7%    15|    -      0
include/leveldb/status.h               |54.5%     22|54.5%    11|    -      0
include/leveldb/table.h                | 100%      1| 100%     1|    -      0
include/leveldb/table_builder.h        | 100%      1| 100%     1|    -      0
port/atomic_pointer.h                  | 100%     15| 100%     7|    -      0
port/port_posix.cc                     |69.2%     26|81.8%    11|    -      0
port/port_posix.h                      | 100%     10| 100%     4|    -      0
table/block.cc                         |74.5%    137|85.7%    21|    -      0
table/block.h                          | 100%      1| 100%     1|    -      0
table/block_builder.cc                 | 100%     49| 100%     5|    -      0
table/block_builder.h                  | 100%      2| 100%     1|    -      0
table/filter_block.cc                  | 0.0%     65| 0.0%     7|    -      0
table/format.cc                        |77.5%     89| 100%     5|    -      0
table/format.h                         | 100%     16| 100%    10|    -      0
table/iterator.cc                      |44.7%     38|18.8%    16|    -      0
table/iterator_wrapper.h               |88.9%     27|80.0%    15|    -      0
table/merger.cc                        |53.4%    103|73.3%    15|    -      0
table/table.cc                         |68.0%    153|83.3%    12|    -      0
table/table_builder.cc                 |81.5%    151|76.9%    13|    -      0
table/two_level_iterator.cc            |68.6%     86|77.8%    18|    -      0
util/arena.cc                          |94.4%     36| 100%     5|    -      0
util/arena.h                           | 100%     10| 100%     2|    -      0
util/cache.cc                          |77.8%    162|87.5%    32|    -      0
util/coding.cc                         |68.8%    112|93.8%    16|    -      0
util/coding.h                          | 100%     13| 100%     3|    -      0
util/comparator.cc                     | 100%     34|88.9%     9|    -      0
util/crc32c.cc                         | 100%     18| 100%     2|    -      0
util/crc32c.h                          | 100%      7| 100%     3|    -      0
util/env.cc                            |78.6%     56|47.4%    19|    -      0
util/env_posix.cc                      |69.7%    320|79.3%    58|    -      0
util/filter_policy.cc                  | 100%      1|50.0%     2|    -      0
util/hash.cc                           |59.1%     22| 100%     1|    -      0
util/logging.cc                        |30.2%     43|16.7%     6|    -      0
util/mutexlock.h                       | 100%      5| 100%     2|    -      0
util/options.cc                        | 100%     15| 100%     1|    -      0
util/posix_logger.h                    |84.2%     38| 100%     4|    -      0
util/random.h                          |81.8%     11| 100%     3|    -      0
util/status.cc                         |60.8%     51| 100%     3|    -      0
=============================================================================
                                 Total:|64.6%   5001|73.0%   699|    -      0
Coverage data collected.
